City_ID,City,Country,Max Temperature,Description,Latitude,Longitude,Hotel Name
0,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
1,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Iquique,CL,62.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
5,Hobyo,SO,77.14,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
6,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
7,Atuona,PF,79.09,clear sky,-9.8,-139.0333,Villa Enata
8,Tairua,NZ,62.1,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
11,Bandarbeyla,SO,79.16,broken clouds,9.4942,50.8122,JABIR HOTEL
15,Yellowknife,CA,61.32,few clouds,62.456,-114.3525,The Explorer Hotel
16,Singleton,AU,64.45,clear sky,-32.5667,151.1833,Quest Singleton
17,East London,ZA,64.09,broken clouds,-33.0153,27.9116,Tu Casa
18,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
21,Hobart,AU,60.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
22,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
24,Catamarca,AR,67.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
25,Muros,ES,66.7,clear sky,42.7762,-9.0603,Apartment Av. Castelao
27,Saint-Joseph,RE,70.16,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
28,Chernyshevskiy,RU,60.17,overcast clouds,63.0128,112.4714,Chernyseyskiy
30,Rikitea,PF,76.03,scattered clouds,-23.1203,-134.9692,People ThankYou
31,Ketchikan,US,58.98,broken clouds,55.3422,-131.6461,Snows Cove Lodge
32,Conceicao Do Araguaia,BR,78.93,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
34,Busselton,AU,59.94,few clouds,-33.65,115.3333,Observatory Guest House
35,Bentiu,SS,80.17,overcast clouds,9.2333,29.8333,Mandela hôtel
36,Rurrenabaque,BO,61.83,few clouds,-14.4413,-67.5278,Casa de Campo
38,Bethel,US,63.25,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
39,Beachwood,US,72.19,clear sky,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
40,Xichang,CN,76.08,broken clouds,27.8964,102.2634,Xichang ibis Hotel
41,Sechura,PE,68.2,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
42,Jamestown,US,72.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
46,San Juan,AR,75.72,clear sky,-31.5375,-68.5364,Hotel Provincial
47,Ponta Do Sol,PT,68.72,clear sky,32.6667,-17.1,Hotel do Campo
48,Labuhan,ID,82.62,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
50,Trinidad,BO,61.93,clear sky,-14.8333,-64.9,Hotel Piesta
51,Mar Del Plata,AR,57.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
53,Kijang,KR,78.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
54,Hithadhoo,MV,81.81,clear sky,-0.6,73.0833,Scoop Guest House
57,Vila Velha,BR,69.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
58,Faya,SA,68.11,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
59,Livramento,BR,83.07,light rain,-3.0254,-60.1803,Refúgio Samauma
61,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
62,Careiro Da Varzea,BR,83.01,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
64,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Westport,US,64.22,clear sky,41.1415,-73.3579,The Westport Inn
68,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Ribeira Grande,PT,67.93,few clouds,38.5167,-28.7,Quinta da Meia Eira
70,San Patricio,US,84.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
72,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
73,Fayaoue,NC,75.65,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
74,Port Elizabeth,ZA,59.29,mist,-33.918,25.5701,39 On Nile Guest House
75,Saijo,JP,79.5,broken clouds,33.9167,133.1833,Saijo Urban Hotel
77,Lompoc,US,80.42,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
81,Soyo,AO,75.15,broken clouds,-6.1349,12.3689,Hotel Mpampa
82,Songjianghe,CN,80.01,broken clouds,42.1859,127.479,Sijisheng Fashion Guest House
85,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
86,Leo,BF,79.79,broken clouds,11.1,-2.1,Hotel Sissilis
