City ID,City,Country,Latitude,Longitude,Max Temperature,Humidity,Percent Clouds,Wind Speed,Description,Date
0,Avarua,CK,-21.2078,-159.775,73.45,73,90,6.91,overcast clouds,2021-06-13 01:47:11
1,Vaini,TO,-21.2,-175.2,77.16,69,40,12.66,scattered clouds,2021-06-13 01:47:11
2,Albany,US,42.6001,-73.9662,66.07,82,15,2.3,few clouds,2021-06-13 01:42:32
3,Ahuimanu,US,21.4447,-157.8378,87.51,56,40,13.8,scattered clouds,2021-06-13 01:47:12
4,Iquique,CL,-20.2208,-70.1431,62.64,78,5,3.2,clear sky,2021-06-13 01:47:12
5,Hobyo,SO,5.3505,48.5268,77.14,87,100,25.37,overcast clouds,2021-06-13 01:47:12
6,Pisco,PE,-13.7,-76.2167,64.45,72,90,10.36,overcast clouds,2021-06-13 01:47:13
7,Atuona,PF,-9.8,-139.0333,79.09,76,7,16.53,clear sky,2021-06-13 01:47:13
8,Tairua,NZ,-37.0167,175.85,62.1,83,100,11.05,overcast clouds,2021-06-13 01:47:13
9,Ushuaia,AR,-54.8,-68.3,38.86,87,75,26.46,broken clouds,2021-06-13 01:47:14
10,Ancud,CL,-41.8697,-73.8203,44.42,88,100,4.76,light rain,2021-06-13 01:47:14
11,Bandarbeyla,SO,9.4942,50.8122,79.16,64,61,24.09,broken clouds,2021-06-13 01:47:14
12,Ozernovskiy,RU,51.5,156.5167,48.83,83,88,3.62,overcast clouds,2021-06-13 01:47:15
13,Kolokani,ML,13.5728,-8.0339,89.6,32,57,8.63,broken clouds,2021-06-13 01:47:15
14,Saskylakh,RU,71.9167,114.0833,49.55,56,100,12.75,overcast clouds,2021-06-13 01:47:15
15,Yellowknife,CA,62.456,-114.3525,61.32,59,20,11.5,few clouds,2021-06-13 01:45:12
16,Singleton,AU,-32.5667,151.1833,64.45,54,0,11.59,clear sky,2021-06-13 01:47:16
17,East London,ZA,-33.0153,27.9116,64.09,51,74,3.85,broken clouds,2021-06-13 01:47:16
18,Mount Isa,AU,-20.7333,139.5,76.77,16,27,6.91,scattered clouds,2021-06-13 01:47:17
19,Bud,US,39.447,-86.1758,85.98,95,95,11.92,overcast clouds,2021-06-13 01:47:17
20,Dum Duma,IN,27.5667,95.5667,85.89,83,68,2.28,broken clouds,2021-06-13 01:47:17
